-11	DRAWING	TITLE	FIND	STRIKE
X	1006082	SCHEMATIC	REF	
				
AR	1006776-22	INSULATION, SLEEVING	18	
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	17	
AR	1006757-8	WIRE, ELECTRICAL	16	
AR	1006757-11	WIRE, ELECTRICAL	15	
1	1006838	DIODE	14	
4	1006751	DIODE	13	
25	1006752	TRANSISTOR	12	
3	1006798	INDUCTOR	11	
14	1006755-79	CAPACITOR	10	
24	1006750-15	RESISTOR	9	
1	1006750-25	RESISTOR	8	
1	1006750-32	RESISTOR	7	
32	1006750-39	RESISTOR	6	
1	1004263-4	INSULATOR	5	
1	1004263-3	INSULATOR	4	
1	1004263-2	INSULATOR	3	
1	1004263-1	INSULATOR	2	
1	1004259	HOLDER, COMPONENT	1	
				
X	X	(PROOFED)	REF	X
