0	DRAWING	TITLE	FIND
AR	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	26
4	NAS1352CO2LL8	SCREW, SOC. HD. CAP	25
8	1010468-1	SCREW, SOC. HD. CAP	24
8	MS35649-24	NUT, PLAIN, HEX.	23
AR	1010686	CATALYST	22
AR	1010657	EPOXY RESIN	21
			20
			19
1	MS171435	PIN SPRING	18
AR	MIL-S-22473 GRADE C	SEALING COMPOUND	17
4	1010477-12	SCREW, FLAT HD	16
8	1010618-3	SCREW, BUTTON HD	15
			14
			13
1	MS171436	PIN, SPRING	12
1	MS171433	PIN SPRING	11
2	1010457-2	ACTUATOR, AUXILIARY	10
6	1010435-1	SWITCH, BASIC	9
8	1014653	ACTUATOR SPRING	8
1	1014671	PLATE, MOUNTING	7
4	1014652	STOP BLOCK	6
1	1014644	CAM, ACTUATOR	5
1	1014645	SHAFT, FULCRUM	4
1	1014669	KNOB, SHAFT ACTUATOR	3
1	1014670	ACTUATOR & SHAFT	2
1	1014649	HOUSING	1
			
		PROOFED	
