FIND	0	DRAWING	TITLE
1	26' 2.2"	1010639-2	WIRE
2	42"	-4	WIRE
3	5	1010738-6	CONTACT ELECTRICAL (SOCKET)
4	AR	MIL-T-713 TYPE P CLASS 2 BLACK	LACING TAPE (ES-2732 NO. 18)
5	44"	MIL-W-16878 1B-20-19STND WHITE	WIRE
			
			PROOFED
