FIND	0	DRAWING	TITLE	NOTE
1	1	MIL-W-16878 E28	WIRE, 28AWG RED	3'
2	1	MIL-W-16878 E28	WIRE, 28AWG BRN	9.00"
3	1	MIL-W-16878 E28	WIRE, 28AWG GY	2' 4.00"
4	1	MIL-W-16878 E28	WIRE, 28AWG VIO	5.06"
5	1	1000222	CONNECTOR - PLUG (J26)	
6	7	1006776-18	INSULATION, SLEEVING	5/16 LONG
7	AR	QQ-S-571 SN60 WARP2	SOLDER	
8	AR	MIL-T-713 TYPE P CLASS 2 BLACK	TAPE, NYLON, WAXES	
				
		PROOFED		
