-2	-1	TITLE	DRAWING	FIND	NOTE
1		RETAINER, BEARING O.A.	1001525	55	
	1	SPACER, RING	1001523	54	
	1	RETAINER RING, FRICTION (MOD)	1001524	53	
	1	SHAFT, STUB 1X OUTER AXIS (MOD)	1001520	52	
2	2	RING, FOAM	1001515	51	
2	2	INSULATION SLEEVING, ELEC HEAT SHRINK	1010490-180	50	3/4 LONG
2	2	CLAMP, CABLE	1000220-6	49	
3	3	SHIELD & GROUND ASSEMBLY	1000020-3	48	
3	3	SHIELD & GROUND ASSEMBLY	1000020-2	47	
6	6	WASHER, FLAT, ROUND	1000254	46	
1	1	RESISTOR, FIXED	1010498-300	45	
1	1	WIRE, ELEC, TYPE E-28 GY	1010416-9	44	20" LONG
1	1	WIRE, ELEC, TYPE E-28 BLU	1010416-7	43	28" LONG
1	1	WIRE, ELEC, TYPE E-28 YEL	1010416-5	42	30" LONG
1	1	WIRE, ELEC, TYPE E-28 RED	1010416-3	41	42" LONG
1	1	WIRE, ELEC, TYPE E-28 WHT	1010416-10	40	18" LONG
1	1	WIRE, ELEC, TYPE E-28 BLK	1010416-1	39	56" LONG
AR	AR	TAPE, NYLON, WAXED, BLK	MIL-T-713 TYPE P CLASS 2	38	
AR	AR	GREASE, LUBRICATING (BEACON 325)	MIL-G-3278	37	
AR	AR	GOODYEAR CPA923A	MIL-A-13883	36	
AR	AR	SOLDER	QQ-S-571 SN60 WARP 2	35	
AR	AR	SOLDER	QQ-S-571 SN10 WARP 2	34	
1	1	CLAMP, CABLE	1000220-4	33	
2	2	CLAMP, CABLE	1000220-5	32	
5	5	WASHER, CABLE CLAMP	1000223	31	
5	5	SCREW, HEX SOC. HD.	1000110-1	30	
6	6	CLAMP, TORQUE MOTOR	1000087	29	
4	4	SCREW, FLAT HD, SELF LKG, SOC HD HEX	1000104-17	28	
6	6	SCREW, CAP, SELF LKG, SOC HD HEX	NAS1352CO4LL4	27	
2	2	SCREW, BUT. HD, SELF LKG, SPL. SOC	1000250-2	26	
6	6	SCREW, CAP, SELF LKG, SOC HD HEX	NAS1352CO2LL4	25	
6	6	SCREW, CAP, SOC HD HEX.	1000110-7	24	
6	6	SCREW, BUT. HD, SELF LKG, HEX SOC	1000093-25	23	
6	6	SCREW, BUT. HD, SELF LKG, SPL SOC	1000250-15	22	
9	9	SCREW, BUT HD, SELF LKG, SPL. SOC	1000250-12	21	
2	2	BUSHING, INSULATOR	1000036	20	
60	60	INSULATION SLEEVING, ELEC HEAT SHRINK	1006776-18	19	7/8 LONG
2	2	SCREW, CAP, SOC. HD, HEX	1000110-202	18	
18	18	TERMINAL, INSULATED	1000100-1	17	
1	1	ASSEMBLY, RING, FRICTION	1001516	16	
48	48	INSULATION, SLEEVING, ELEC	1006776-18	15	3/16 LONG
2	2	INSULATION, SLEEVING, ELEC	1006776-9	14	5/16 LONG
2	2	CONN, ELEC, RECEP, 29 CONT.	1000116	13	
1	1	CONN, ELEC, RECEP, 32 PINS	1001492-4	12	
1	1	CONN, ELEC, RECEP, 32 PINS	1001492-3	11	
1	1	GUIDE, WIRE, SHAFT STUB, O.A.	1000151	10	
1	1	SUIDE, WIRE, BEARING, HSG, 1-X O.A.	1000269	9	
1		RETEAINER, RING, FRICTION	1001513	8	
1	1	BEARING, BALL, DUPLEX, SPL	1001483	7	
1	1	SLIP RING ASSY, ELEC, 50 CONTACT	1000038	6	
	1	RETAINER, BEARING, OUTER AXIS	1000091	5	
1	1	MOTOR, TORQUE, DC, FRAMELESS	1000075	4	
1	1	RSVR ASSY, 1-X XMTR & PITCH-YAW	1000033	3	
1		SHAFT STUB, 1-X OUTER AXIS	1001514	2	
1	1	HOUSING, BEARING, 1-X OUTER AXIS	1000101	1	
					
		PROOFED			
