0	TITLE	DRAWING	FIND
AR	SILICONE RUBBER	1010849	13
1	DIODE	1010830-2	12
8	DIODE	1010497	11
2	CAPACITOR	1006755-19	10
1	CAPACITOR	-69	9
1	RESISTOR	1010695-91	8
1	RESISTOR	-58	7
1	RESISTOR	1010694-143	6
1	RESISTOR	-67	5
2	RESISTOR	-96	4
2	RESISTOR	-126	3
1	RESISTOR	-302	2
1	BOARD, PRINTED CIRCUIT	1001542	1
			
	PROOFED		
