-111	-101	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1											2018601-231	INERTIAL MEASURING UNIT	12	
	1										2018601-201	INERTIAL MEASURING UNIT	11	
		1									2018601-161	INERTIAL MEASURING UNIT	10	
1	1	1	1								2007201-031	PIPA ELECTRONICS ASSEMBLY	9	
			1	1							2018601-121	INERTIAL MEASURING UNIT	8	
					1						2018601-091	INERTIAL MEASURING UNIT	7	
						1					2018601-081	INERTIAL MEASURING UNIT	6	
				1	1	1	1	1			2007201-021	PIPA ELECTRONICS ASSEMBLY	5	
								1			2018601-061	INERTIAL MEASURING UNIT	4	
							1		1		2018601-021	INERTIAL MEASURING UNIT	3	
									1	1	2007201-011	PIPA ELECTRONICS ASSEMBLY	2	
										1	2018601-011	INERTIAL MEASURING UNIT	1	
														
X	X	X	X	X	X	X	X	X	X	X	X	PROOFED	REF	X
