0	DRAWING	TITLE	FIND	STRIKE
X	1010008	ELEC SCHEMATIC DIAGRAM	REF	
				
2	1010830-26	DIODE	46	
AR	1006776-20	INSULATION SLEEVING	45	
AR	-21	INSULATION SLEEVING	44	
2	1006784-6	TERMINAL, FEEDTHRU, INSULATED	43	
11	1006782-4	CONTACT, WRAPOST – MALE, MIN	42	
11	1006775	INSULATOR, WRAPOST – MALE, MIN	41	
AR	1006776-22	INSULATION SLEEVING	40	
AR	1006757-8	WIRE, ELEC .020 DIA	39	
AR	-1	WIRE, ELEC .010 X .020 	38	
1	1008025-1	INSULATOR, BUSHING	37	
4	1010292-2	TERMINAL, FEEDTHRU, INSULATED	36	
1	1008152	DIODE	35	
1	1010372-19	DIODE	34	
2	-15	DIODE	33	
2	1010830-27	DIODE	32	
1	1010372-32	DIODE	31	X
1	-3	DIODE	30	
1	1010357-1	TRANSISTOR	29	
3	1010376-3	TRANSISTOR	28	
2	1006777-6	CAPACITOR, CER	27	
1	1010264-24	CAPACITOR, MYLAR	26	
2	1010618-3	SCREW, BUTTON HD	25	
1	1010836-22	RESISTOR, FIXED WW	24	
1	1010254 SEE DRAWING NOTE 13	RESISTOR, FIXED WW	23	
1	1010377 SEE DRAWING NOTE 12	RESISTOR, FIXED WW	22	
1	1010377 SEE DRAWING NOTE 11	RESISTOR, FIXED WW	21	
1	1010377-25	RESISTOR, FIXED WW	20	
1	1006760-30	RESISTOR, FIXED MF	19	
1	1010399-49	RESISTOR, FIXED WW	18	
1	1006760-46	RESISTOR, FIXED MF	17	
1	1006750-68	RESISTOR, FIXED FILM	16	
1	-1	RESISTOR, FIXED FILM	15	
1	-84	RESISTOR, FIXED FILM	14	
1	-66	RESISTOR, FIXED FILM	13	
2	-16	RESISTOR, FIXED FILM	12	
1	1006760-48	RESISTOR, FIXED MF	11	
1	1010377-36	RESISTOR, FIXED WW	10	
2	-23	RESISTOR, FIXED WW	9	
2	1010364-681	RESISTOR, FIXED FILM	8	
2	1010377-39	RESISTOR, FIXED WW	7	
1	1010374-126	RESISTOR, FIXED CARBON FILM	6	
5	1006750-80	RESISTOR, FIXED FILM	5	
1	1010373-12	RESISTOR, VARIABLE	4	
1	1008010-2	INSULATOR BOTTOM	3	
1	-1	INSULATOR TOP	2	
1	1007003	HEATSINK	1	
				
		PROOFED		
