-11	DRAWING	TITLE	FIND	STRIKE
X	1006061	SCHEMATIC	REF	
AR	1006879	SILICONE COMPOUND THERMOCONDUCTIVE	13	
2	1004546-1	WASHER, FLAT	12	
2	MS16633-4015	RING RETAINING EXTERNAL “E”	11	
2	1004117	PLUG, KEYING	10	X
2	1004207	DRIVE CYLINDER EJECTION SCREW	9	X
2	1004546-3	WASHER, FLAT	8	
2	MS39086-100	PIN SPRING, SPIRAL	7	X
2	1004579-1	SCREW, JACKING	6	
AR	1006806-3	6 ½ X .600 WIDE DOUBLE SIDED TAPE	5	
4	1006273-11	SCREW, CAP, BUTTON HD	4	
1	1004190	COVER, ERASABLE MEMORY MODULE	3	
1	1003070	DIODE BLOCK ASSEMBLY	2	
1	1003068	ERASABLE MEMORY CORE STACKY, ASSY	1	
				
X	X	PROOFED	REF	X
