-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR			SEE DRAWING NOTE 28	MOISTUREPROOFING	27	
AR	AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	26	
		X	1010011	SCHEMATIC	REF	
1	1	1	1008540-11	GASKET, CONNECTOR – MINIATURE	25	
X	X		1009542	SCHEMATIC	REF	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	24	
1	1	1	1006784-6	TERMINAL, FEEDTHRU, INSULATED	23	
AR	AR	AR	1006776-20	INSULATION, SLEEVING	22	
AR	AR	AR	1006757-1	WIRE, ELEC .010 X .020	21	
	AR	AR	1006757-8	WIRE, ELEC .020 DIA	20	X
	AR	AR	1006776-22	INSULATION, SLEEVING	19	X
11	11	11	1006782-4	CONTACT, WRAPOST, MALE MIN	18	
11	11	11	1006775	INSULATOR, WRAPOST, MALE, MIN	17	
1	1	1	SEE DRAWING NOTE 16	CAPACITOR, .0220UF-.0775UF 200V PLUS-MINUS 1%	16	
1	1	1	1010834-12	RESISTOR, FXD, WW 10 OHM 1W PLUS-MINUS .01%	15	
1	1	1	SEE DRAWING NOTE 16	CAPACITOR, .0220UF-.0775UF 200V PLUS-MINUS 1%	14	
1	1	1	SEE DRAWING NOTE 19	RESISTOR, FXD, WW 1W PLUS-MINUS .01%	13	
2	2	2	1010389-93	RESISTOR, FIXD, WW 600 OHM 3W PLUS-MINUS 1%	12	
1	1	1	SEE DRAWING NOTE 18	RESISTOR, FXD, WW 1/10W PLUS-MINUS .1%	11	
2	2	2	1010262-1	RESISTOR, FXD, WW 525 OHM 10W PLUS-MINUS 1%	10	
1	1	1	SEE DRAWING NOTE 21	RESISTOR, VAR, 1W PLUS-MINUS 5%	9	
2	2	2	SEE DRAWING NOTE 17	RESISTOR, FXD, WW 1/10W	8	
1	1	1	1010373-8	RESISTOR, VAR, 2K 1W PLUS-MINUS 5%	7	
2	2	2	1010289-036	CAPACITOR, POLY, .0775UF 200V PLUS-MINUS .5%	6	
1	1	1	1010283-17	RESISTOR, FXD, WW 5.1K 1/10W PLUS-MINUS .1%	5	
4	4	4	1000093-3	SCREW, BUTTON HD	4	
1	1	1	1008023-1	INSULATOR	3	
	1	1	1008023-2	INSULATOR	2	X
1	1	1	1007020	HEATSINK	1	
						
				PROOFED		
