-11	DRAWING	TITLE	FIND	STRIKE
X	1005780	SCHEMATIC	REF	
				
				
81	1006399	SEMICONDUCTOR DEVICE, DIODE	35	
AR	1006732	WIRE ELECTRICAL	34	
39	1006772-7	RELAY, ARM., MAGNETIC LATCHING	33	
AR	1006376-003	WIRE ELECTRICAL	32	X
1	1004654	GASKET	31	
AR	1006757-13	WIRE ELECTRICAL .020 DIA	30	
2	1004124-2	BLOCK, DIODE	29	
2	1006750-72	RESISTOR, FIXED	28	
AR	1006776-22	INSULATION, SLEEVING	27	
14	1004852	BACKING STRIP	26	
40	1004124-1	BLOCK, DIODE	25	
AR	1006757-7	WIRE, ELECTRICAL .005 X .020	24	
AR	1006732-1	WIRE ELECTRICAL	23	X
2	1004540	PIN, STOP	22	
1	1003521-5	800 MATRIX ASSY	21	
1	1003521-26	800 MATRIX ASSY	20	
1	1003521-31	800 MATRIX ASSY	19	
1	1003521-32	800 MATRIX ASSY	18	
2	1003521-33	800 MATRIX ASSY	17	
2	1003521-34	800 MATRIX ASSY	16	
1	1003521-29	800 MATRIX ASSY	15	
1	1003521-30	800 MATRIX ASSY	14	
2	1003521-27	800 MATRIX ASSY	13	
2	1003521-28	800 MATRIX ASSY	12	
81	1006751	SEMICONDUCTOR DEVICE, DIODE	11	X
39	SEE NOTE 19	RELAY, ARM., MAGNETIC LATCHING	10	X
3	1006815-2	RELAY, ARMATURE	9	
AR	1006806-10	INSULATION TAPE, ELECTRICAL	8	
1	1004842-1	INSULATOR	7	
1	1004842-2	INSULATOR	6	
2	MS35200-13	SCREW, FLATHEAD	5	
6	NAS620-4	WASHER, FLAT	4	
6	MS35457-1	SCREW, SOCKET	3	
1	1004145	PLATE, RELAY MODULE	2	
1	1004113	HEADER ASSY, RELAY MODULE	1	
				
X	X	PROOFED	REF	X
