FIND	-11	DRAWING	TITLE	STRIKE
10	2	2012490	SCREW, CAPTIVE, HEX SOCKET HEAD	
9	1	2011965	SCT EYEGUARD ASSEMBLY	
8	1	2011962	RING, LOCKING	
7	1	2011963	RING, LOCKING	
6	1	2011967	LENS, ASSY OF (TELESCOPE OBJECTIVE)	
5	1	2011661	SPACER, LENS	
4	1	2011708	LENS, ASSY OF (TELESCOPE OBJECTIVE)	
3	1	2011660	SPACER, LENS	
2	1	2011707	LENS, ASSY OF (TELESCOPE OBJECTIVE)	
1	1	2011961	HOUSING, EYEPIECE SCT	
				
REF	X	X	PROOFED	X
