-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
1	1	1		1	1	1		1	1	2003121-191 or 2003888-191	LOGIC MODULE A21	32B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-181 or 2003888-181	LOGIC MODULE A20	31B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-171 or 2003888-171	LOGIC MODULE A19	30B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-161 or 2003888-161	LOGIC MODULE A18	29B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-151 or 2003888-151	LOGIC MODULE A17	28B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-141 or 2003888-141	LOGIC MODULE A16	27B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-131 or 2003888-131	LOGIC MODULE A15	26B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-121 or 2003888-121	LOGIC MODULE A14	25B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-111 or 2003888-111	LOGIC MODULE A13	24B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-091 or 2003888-091	LOGIC MODULE A12	23B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
4	4	4		4	4	4		4	4	2003121-081 or 2003888-081	LOGIC MODULE A8-11	22B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-071 or 2003888-071	LOGIC MODULE A7	21B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-061 or 2003888-061	LOGIC MODULE A6	20B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-051 or 2003888-051	LOGIC MODULE A5	19B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-041 or 2003888-041	LOGIC MODULE A4	18B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-031 or 2003888-031	LOGIC MODULE A3	17B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-021 or 2003888-021	LOGIC MODULE A2	16B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
1	1	1		1	1	1		1	1	2003121-011 or 2003888-011	LOGIC MODULE A1	15B		The original drawing does not specify this FIND item for configurations -051 and -061.  I have assigned -051/061 identically to -041.
2	2	2	2	2	2	2	2	2	2	2003140-031	ROPE DRIVER MODULE B16-17	14		
1	1	1	1	1	1	1	1	1	1	2003027-031	STRAND SELECT MODULE B15	13		
1	1	1	1	1	1	1	1	1	1	2003982-021 or 2003982-031	SENSE AMPL MOD, ERASABLE MEMORY B13	12		
1	1	1	1	1	1	1	1	1	1	2003111-021	ERASABLE MEMORY MODULE B12	11	X	
1	1	1	1	1	1	1	1	1	1	2003026-031	CURRENT SWITCH MODULE B11	10		
2	2	2	2	2	2	2	2	2	2	2003114-021	ERASABLE DRIVER MODULE B9-10	9		
		1	1			1	1	1	1	2003983-021	ALARM MODULE B8	8		
1	1	1	1	1	1	1	1	1	1	2003036-031	OSCILLATOR MODULE B7	7		
1	1	1	1	1	1	1	1	1	1	2003978-001	MID SPACER	6		
1	1	1	1	1	1	1	1	1	1	2003059-021	INTERCONNECTION HEADER ASSEMBLY	5		
1	1	1	1	1	1	1	1	1	1	2003976-011	TRAY B COVER	4		
1	1	1	1	1	1	1	1	1	1	2003977-011	TRAY A COVER	3		
1	1	1	1	1	1	1	1	1	1	2003093-021	TRAY B WIRED ASSEMBLY	2		
									1	2003092-031	TRAY A WIRED ASSEMBLY	1		
														
X	X	X	X	X	X	X	X	X	X	X	PROOFED	REF	X	
