-21	-11	DRAWING	TITLE	FIND	STRIKE
49	49	1008819-001	SLEEVE, GROUNDING, MINIATURE	6	
49	49	1008818-002	CONTACT, WRAPOST, MINIATURE GROUNDING	5	
6	6	MS16555-27	PIN, GUIDE	4	
549	549	1006774	INSULATOR, WRAPOST – FEMALE, MINIATURE	3	
549	549	1006781-3	CONTACT, WRAPOST, FEMALE, MINIATURE	2	
1	1	2008394	CONNECTOR MTG PLATE INSEP ASSY, LEFT	1	
					
X	X	X	PROOFED	REF	X
