-021	-011	DRAWING	TITLE	FIND
1		6007016-021	HEADER ASSEMBLY	15
1	1	1004260-196	NAMEPLATE	14
13	13	2008033-1	WASHER, THRUST	13
13	13	1010977-001	SCREW, CAP, HEX SOCKET HEAD	12
8	8	2004148-003	WASHER, FLAT	11
8	8	1008874-017	SCREW, CAP, SOCKET HEAD	10
1	1	2007230-011	GIMBAL RESOLVER SIG COND	9
1	1	6007011-011	CDU FINE ERRORS AND IRG TEMP SIG COND	8
1	1	2007239-011	TOR MTR AND IX SINE GMBL RSVR SIG COND	7
1	1	6007012-011	RADAR RSVR AND 120V PIPA SUP SIG COND	6
1	1	2007233-011	DAC PIPA TEMP AND 2.5V BIAS SIG COND	5
1	1	2007231-011	IRIG AND PIPA SIG COND	4
1	1	6008057	COVER	3
1	1	2008389-016	CAP, PROTECTIVE	2
	1	6007016-011	HEADER ASSEMBLY	1
				
			PROOFED	
