-11	DRAWING	TITLE	FIND	STRIKE
X	2010068	SCHEMATIC	REF	
				
				
1	1010264-17	CAPACITOR	57	
AR	1010848-2	WIRE, ELECTRICAL	56	
1	MS20341-10B	NUT, HEX	55	
2	1008071-2	WASHER, FLAT	54	
2	1008024-1	WASHER, INSULATOR	53	
1	2008020-1	BUSHING, INSULATOR	52	
1	1010910	TRANSFORMER	51	
1	1010269-1	TRANSISTOR	50	
3	1010397-1	TRANSISTOR	49	
1	1006750-12	RESISTOR	48	
1	1006750-18	RESISTOR	47	
1	1010364-173	RESISTOR	46	
1	1010364-749	RESISTOR	45	
1	1006750-64	RESISTOR	44	
1	1006750-70	RESISTOR	43	
1	1006750-34	RESISTOR	42	
1	1006750-19	RESISTOR	41	
1	1006750-67	RESISTOR	40	
1	1010364-757	RESISTOR	39	
1	1006750-69	RESISTOR	38	
1	1006750-72	RESISTOR	37	
1	1010364-219	RESISTOR	36	
2	1006750-84	RESISTOR	35	
3	1006750-56	RESISTOR	34	
1	1010364-495	RESISTOR	33	
1	1006750-75	RESISTOR	32	
1	1006750-80	RESISTOR	31	
1	1008815-11	DIODE	30	X
1	1006755-85	CAPACITOR	29	
1	1006755-77	CAPACITOR	28	
1	1010375-56	CAPACITOR	27	
1	1006755-65	CAPACITOR	26	
1	1010359-11	CAPACITOR	25	
1	1010375-54	CAPACITOR	24	X
1	1010375-47	CAPACITOR	23	
3	1006755-69	CAPACITOR	22	
1	1006755-20	CAPACITOR	21	
1	1010375-50	CAPACITOR	20	
1	1010359-15	CAPACITOR	19	
1	1010375-44	CAPACITOR	18	
1	1010264-14	CAPACITOR	17	
2	1010264-22	CAPACITOR	16	
1	1008540-5	GASKET	15	
1	1008540-13	GASKET	14	
1	2008093-000	TERMINAL, THREADED	13	
			12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
			9	
AR	1006757-1	WIRE, ELECTRICAL, .010 X .020	8	
6	1008161-2	SCREW, CAP SLOTTED HD, SPECIAL	7	
3	1015135-019	SPACER	6	
18	1006782-5	CONTACT, WRAPOST – MALE, MINAT	5	
18	1006775	INSULATOR, WRAPOST – MALE, MINAT	4	
1	2008292	WIRING BOARD, BOTTOM	3	
1	2008290	WIRING BOARD, TOP	2	
1	2008277	FRAME	1	
				
X	X	PROOFED	REF	X
