-21	-11	DRAWING	TITLE	FIND	STRIKE
AR		SEE DRAWING NOTE 27	MOISTUREPROOFING	95	
AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	94	
X	X	1009503	SCHEMATIC	REF	
	AR	1006776-22	INSULATION, SLEEVING	93	X
AR	AR	MIL-I-15126 TYPE MFT 2.5 1/2” WIDE	INSULATION, TAPE	92	
2	2	1010753	TRANSFORMER	91	
1	1	1010752	TRANSFORMER	90	
1	1	1010759	TRANSFORMER	89	
2	2	1010357-1	TRANSISTOR	88	
1	1	1010342	TRANSISTOR	87	
1	1	1010269-2	TRANSISTOR	86	
4	4	1010367	CHOPPER	85	
6	6	1010397-1	TRANSISTOR	84	
1	1	1010265-10	DIODE	83	
4	4	1010392-1	DIODE	82	
2	2	1010372-11	DIODE	81	
1	1	1010830-11	DIODE	80	
1	1	-9	DIODE	79	
1	1	1010277-6	INDUCTOR	78	
2	2	1010359-5	CAPACITOR	77	
1	1	1010279-219	CAPACITOR	76	
1	1	-216	CAPACITOR	75	
1	1	-110	CAPACITOR	74	
1	1	1006755-55	CAPACITOR	73	
3	3	-79	CAPACITOR	72	
5	5	-69	CAPACITOR	71	
2	2	-10	CAPACITOR	70	
4	4	-21	CAPACITOR	69	
1	1	-15	CAPACITOR	68	
2	2	-13	CAPACITOR	67	
1	1	-2	CAPACITOR	66	
1	1	1010264-37	CAPACITOR	65	
1	1	-21	CAPACITOR	64	
1	1	-18	CAPACITOR	63	
1	1	1006750-78	RESISTOR	62	
1	1	1010264-1	CAPACITOR	61	
2	2	-13	CAPACITOR	60	
1	1	1006788-22	RESISTOR	59	
1	1	1010364-619	RESISTOR	58	
1	1	1010369-138	RESISTOR	57	
1	1	1006750-70	RESISTOR	56	
1	1	1010364-727	RESISTOR	55	
1	1	1006750-42	RESISTOR	54	
1	1	-72	RESISTOR	53	
1	1	-19	RESISTOR	52	
3	3	-32	RESISTOR	51	
2	2	-60	RESISTOR	50	
1	1	-53	RESISTOR	49	
1	1	-36	RESISTOR	48	
1	1	1010604-16	RESISTOR	47	
1	1	1006750-56	RESISTOR	46	
3	3	-63	RESISTOR	45	
3	3	-39	RESISTOR	44	
3	3	-30	RESISTOR	43	
1	1	-44	RESISTOR	42	
1	1	-52	RESISTOR	41	
4	4	-48	RESISTOR	40	
1	1	-12	RESISTOR	39	
1	1	-55	RESISTOR	38	
1	1	-83	RESISTOR	37	
1	1	-43	RESISTOR	36	
1	1	-10	RESISTOR	35	
2	2	-80	RESISTOR	34	
1	1	-67	RESISTOR	33	
1	1	-47	RESISTOR	32	
1	1	1010364-709	RESISTOR	31	
1	1	-675	RESISTOR	30	
1	1	-765	RESISTOR	29	
1	1	-667	RESISTOR	28	
1	1	-635	RESISTOR	27	
1	1	-157	RESISTOR	26	
5	5	-693	RESISTOR	25	
1	1	-669	RESISTOR	24	
1	1	-707	RESISTOR	23	
1	1	-527	RESISTOR	22	
1	1	-345	RESISTOR	21	
1	1	-687	RESISTOR	20	
3	3	-677	RESISTOR	19	
AR	AR	1006776-21	INSULATION, SLEEVING	18	
AR	AR	-20	INSULATION, SLEEVING	17	
AR	AR	1006757-1	WIRE, ELEC. .010 X .020	16	
	AR	-8	WIRE, ELEC. .020 DIA	15	X
2	2	MS20341-10B	NUT, HEX	14	
2	2	1008071-2	WASHER, FLAT	13	
4	4	1008024-1	WASHER, INSULATOR	12	
2	2	1008021-1	BUSHING, INSULATOR	11	
1	1	1010485-58	SCREW, FILLISTER HEAD	10	
8	8	1008161-3	SCREW, CAP SLOTTED HEAD	9	
1	1	1008575-001	SPACER	8	
3	3	1015135-019	SPACER, NYLON	7	
1	1	1008573	WIRING BOARD, BOTTOM	6	
1	1	1008571	WIRING BOARD, TOP	5	
2	2	1008540-13	GASKET, CONNECTOR MINIATURE	4	
26	26	1006782-5	CONTACT, WRAPOST – MALE, MIN	3	
26	26	1006775	INSULATOR, WRAPOST – MALE, MIN	2	
1	1	1007589	FRAME	1	
					
			PROOFED		
