FIND	0	DRAWING	TITLE
REF	X	1010023	SCHEMATIC
			
39	AR	MIL-I-631	INSULATION, SLEEVING
38	AR	1006776-20	INSULATION, SLEEVING
37	AR	1006757-8	WIRE, ELEC
36	AR	1006776-21	INSULATION, SLEEVING
35	AR	1006757-1	WIRE, ELEC
34	2	1008070-5	WASHER – FLAT
33	2	MS20341-4A	NUT – HEX
32	12	1006782-5	CONTACT, WRAPOST MALE MIN
31	12	1006775	INSULATOR, WRAPOST MALE MIN
30	3	1008025-2	INSULATOR, BUSHING
29	AR	1006776-22	INSULATION, SLEEVING
28	2	1010270	TRANSISTOR
27	1	1010252-1	TRANSISTOR
26	1	1010326	TRANSFORMER
25	2	1010329	TRANSFORMER
24	2	1010278-71	RESISTOR
23	1	1010345-1	TRANSISTOR
22	2	MS35338-78	WASHER, LOCK
21	1	1010364-543	RESISTOR
20	1	1006750-56	RESISTOR
19	1	1010364-765	RESISTOR
18	1	1010369-105	RESISTOR
17	1	1010364-579	RESISTOR
16	4	-443	RESISTOR
15	1	1006750-43	RESISTOR
14	1	-48	RESISTOR
13	2	1010369-97	RESISTOR
12	3	1006750-73	RESISTOR
11	2	-80	RESISTOR
10	1	1010353-1	RELAY, ELECTROMAGNETIC
9	1	1010372-22	DIODE, SEMICONDUCTOR DEVICE
8	4	1010392-1	DIODE, SEMICONDUCTOR DEVICE
7	1	1010279-232	CAPACITOR
6	1	-228	CAPACITOR
5	1	1010264-15	CAPACITOR
4	1	1015692	INSULATOR
3	1	1015690	INSULATOR
2	1	1015691	INSULATOR
1	1	1015689	HEATSINK
			
			PROOFED
