FIND	0	DRAWING	TITLE	NOTE
2	AR	QQ-S-571 SN60	SOLDER	
REF	X	1018906	PRINTED CIRCUIT PATTERN	
1	1	1018913-1	BOARD	The original drawing does not list a p/n for this item.
				
			PROOFED	
