-11	DRAWING	TITLE	FIND
X	2010065	SCHEMATIC	REF
			
1	1006708	TERMINAL, STUD, INSULATED	25
1	1006750-56	RESISTOR	24
AR	1006776-19	INSULATION SLEEVING	23
AR	1006776-21	INSULATION SLEEVING	22
AR	1006776-22	INSULATION SLEEVING	21
2	1006783-6	SCREW, BUTTON HD, HEX SOCKT	20
AR	1006776-20	INSULATION SLEEVING	19
AR	1006787-3	WIRE ELECTRICAL	18
1	2008137-002	NUT, SPECIAL	17
1	2008137-001	NUT, SPECIAL	16
1	2008138-002	WASHER, SPECIAL	15
1	2008138-001	WASHER, SPECIAL	14
1	2008135-002	BUSHING, INSULATOR	13
1	2008135-001	BUSHING, INSULATOR	12
2	1008024-4	WASHER, INSULATOR	11
4	1008024-1	WASHER, INSULATOR	10
2	1008024-3	WASHER, INSULATOR	9
1	1010843-6	TRANSISTOR	8
1	1010273-4	TRANSISTOR	7
1	1006750-32	RESISTOR	6
1	1006760-52	RESISTOR	5
1	1010826-237	RESISTOR	4
2	2008136	STUD	3
1	2007065	TERMINAL BOARD ASSY	2
1	2008134	HEATSINK	1
			
		PROOFED	
