-11	DRAWING	TITLE	FIND
X	2010124	SCHEMATIC	REF
4	1010385	DIODE	77
1	1010311-186	RESISTOR	76
AR	1006776-22	INSULATION SLEEVING	75
1	2001467	AMPLIFIER	74
2	1010310	TRANSFORMER	73
1	1010282	TRANSFORMER	72
1	1010326	TRANSFORMER	71
2	1010466	TRANSFORMER	70
3	1010323	TRANSFORMER	69
3	1008842	TRANSFORMER	68
3	1008832	TRANSFORMER	67
2	1010357-1	TRANSISTOR	66
6	1010367	CHOPPER	65
6	1010397-1	TRANSISTOR	64
2	1010372-11	DIODE	63
1	1010259-000	DIODE	62
7	1010837-001	DIODE	61
2	1010359-17	CAPACITOR	60
2	1010393-037	CAPACITOR	59
2	1010393-029	CAPACITOR	58
2	1006755-10	CAPACITOR	57
2	1006755-4	CAPACITOR	56
2	1006755-40	CAPACITOR	55
2	1010279-108	CAPACITOR	54
2	1010279-106	CAPACITOR	53
2	1010279-16	CAPACITOR	52
3	1006755-69	CAPACITOR	51
6	1006755-34	CAPACITOR	50
3	1006755-31	CAPACITOR	49
3	1010410-007	CAPACITOR	48
3	1010410-18	CAPACITOR	47
1	1006755-182	CAPACITOR	46
2	1010364-579	RESISTOR	45
2	1006760-18	RESISTOR	44
2	1010364-267	RESISTOR	43
2	1010363-787	RESISTOR	42
2	1010364-35	RESISTOR	41
1	1010364-315	RESISTOR	40
1	1010364-387	RESISTOR	39
1	1010364-239	RESISTOR	38
1	SEE NOTE 31	RESISTOR	37
2	1010364-385	RESISTOR	36
1	1010364-401	RESISTOR	35
1	1010364-225	RESISTOR	34
1	SEE NOTE 29	RESISTOR	33
1	1006750-14	RESISTOR	32
4	1010311-138	RESISTOR	31
6	1006750-36	RESISTOR	30
3	1010311-294	RESISTOR	29
3	1006750-56	RESISTOR	28
3	1010364-707	RESISTOR	27
1	1010311-109	RESISTOR	26
3	1006750-65	RESISTOR	25
3	1006750-72	RESISTOR	24
3	1010364-769	RESISTOR	23
3	1010311-291	RESISTOR	22
6	1010364-653	RESISTOR	21
7	1006750-25	RESISTOR	20
AR	1006776-21	INSULATION SLEEVING	19
AR	1006776-20	INSULATION SLEEVING	18
AR	1006757-1	WIRE, ELECTRICAL	17
AR	1010848-2	WIRE, ELECTRICAL, INSULATED	16
1	2008093-000	TERMINAL, THREADED	15
7	1015135-011	SPACER	14
3	1008168-3	SPACER, STUD	13
8	1008161-1	SCREW, CAP, SLOTTED HEAD	12
2	1008540-9	GASKET	11
1	1008540-10	GASKET	10
2	1008540-8	GASKET	9
44	1006782-16	CONTACT WRAPOST – MALE, MINIATURE	8
44	1006775	INSULATOR, WRAPOST, MALE, MINIATURE	7
1	2008487	WIRING BOARD E	6
1	2008485	WIRING BOARD D	5
1	2008483	WIRING BOARD C	4
1	2008481	WIRING BOARD B	3
1	2008479	WIRING BOARD A	2
1	2008475	FRAME	1
