-11	DRAWING	TITLE	FIND
300.0	1010416-10	WIRE, ELECTRICAL STD AWG 28	26
2	MS35216-13	SCREW, PAN HD	25
1	1004582	PLATE, CABLE SUPPORT	24
2	MS15795-803	WASHER, FLAT	23
1	1004630	BRACKET, CABLE SUPPORT	22
95.0	1010778-1	WIRE, ELECTRICAL SHLD AWG 28	21
100.0	1010416-20	WIRE, ELECTRICAL SHLD AWG 26	20
140.0	1010416-11	WIRE, ELECTRICAL SHLD AWG 26	19
31	1000243-1	FERRULE, ELECTRICAL CONDUCTOR	18
31	1000242-1	FERRULE, ELECTRICAL CONDUCTOR	17
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 16	SLEEVING	16
1.5	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 10	SLEEVING	15
5	1004546-1	WASHER, FLAT	14
5	1004546-2	WASHER, FLAT	13
5	1004579-1	SCREW, JACKING	12
5	MS16633-4015	RING, RETAINING	11
2	MS18035-1	STRAP CABLE ID	10
0.125	MIL-I-631 TYPE F FORM Ua, GRADE a, CLASS I, CATEGORY 1, SIZE 7/16	SLEEVING	9
0.83	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 4	SLEEVING	8
0.33	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 0	SLEEVING	7
0.09	MIL-I-23053 CLASS 2 BLACK, SIZE NO. 6	SLEEVING	6
244	1010738-5	CONTACT, PIN	5
1	1010817-1	CONNECTOR, PLUG	4
1	1003542	GASKET & FRAME ASSY	3
1	1003547	CONN PL, WIRE WRAP ASSY (DECODING)	2
1	1003479	CONN PL, WIRE WRAP ASSY (RELAY)	1
			
		PROOFED	
