FIND	0	DRAWING	TITLE	STRIKE
4	1	1021265-004	PIN	
3	1	-003	HINGE, BUTT	
2	1	-002	RIGHT LEAF	X
1	1	-001	HINGE, BUTT	
				
			PROOFED	
