FIND	0	DRAWING	TITLE
7	2	NAS1395C5L	INSERT, HEAVY DUTY, SELF LOCKING
6	1	1899970-6	RING, SNUBBER
5	1	1899970-5	WASHER
4	2	1899970-4	INSERT, RESILIENT
3	1	1899970-3	INSERT, RESILIENT
2	1	1899970-2	CORE
1	1	1899970-1	ISOLATOR, HOUSING
			
			PROOFED
