-21	-11	DRAWING	TITLE	FIND
X		2005034	WIRE WRAP DECK	REF
	X	2005031	WIRE WRAP DECK	REF
				
				
4	4	MS16555-641	PIN, STRAIGHT HEADLESS	9
2	2	MS16555-628	PIN, STRAIGHT HEADLESS	8
4	4	2004139	PIN, HEADLESS DOWEL	7
				6
				5
AR	AR	1006732	WIRE, ELEC, INS	4
				3
				2
1	1	2003063-011	TRAY B SUBASSY	1
