0	TITLE	DRAWING	FIND
AR	IMPREGNANT	1010687-1	4
AR	WIRE (LEADS)	1006711-13 AWG 30	3
AR	WIRE	1006711-22 AWG 41	2
1	CORE	1010689-1	1
			
	PROOFED		
