-21	-11	FIND	DRAWING	TITLE
AR	0	6	1008985	GREASE, FLOURINATED
AR	0	5	2012807-1 THRU -3	WASHER, FLAT
4	4	4	1010618-1	SCREW, BUTTON HEAD, SELF LOCKING, SOC HEX
2	2	3	2012634-001	SPRING, FLAT
2	2	2	2012635	PLUNGER
1	1	1	2012798	COVER, SEXTANT
				
				PROOFED
