FIND	0	DRAWING	TITLE
1	83.0 FEET 0.5 INCHES	1010639-2	WIRE
2	24	1010738-6	CONTACT, ELEC
3	1	1010476-168	INSULATION, SLEEVING, ELEC, HEAT SHRINK
4	1	1010711-1	SPLICE REDUCER
5	AR	MIL-T-713 TYPE P CLASS 2 BLACK	LACING TAPE
6	AR	MIL-W-16878 1B-24-19STND WHT	WIRE
7	AR	MIL-W-16878 1B-20-19STND WHT	WIRE
			
			PROOFED
