FIND	0	DRAWING	TITLE
1	21 ½ INCHES	MIL-W-16878 E26 BLK	WIRE
2	5 INCHES	MIL-W-16878 E26 WHT	WIRE
3	43 INCHES	MIL-W-16878 E26 RED	WIRE
4	46 ¾ INCHES	MIL-W-16878 E26 BRN	WIRE
5	13 1/8 INCHES	MIL-W-16878 E26 ORN	WIRE
6	6 ½ INCHES	MIL-W-16878 E26 YEL	WIRE
7	7 1/8 INCHES	MIL-W-16878 E26 GY	WIRE
8	7 5/8 INCHES	MIL-W-16878 E26 GRN	WIRE
9	1	1010347-2	CONNECTOR – PLUG (P1)
10	1	1010717-1	TERMINAL LUG
11	AR	MIL-T-713 TYPE P CLASS 2 BLACK	TAPE, NYLON, WAXED
12	AR	QQ-S-571 SN60WS	SOLDER
13	AR	MIL-F-14256	FLUX (ES-2798)
14	AR	QQ-S-571 SN60 WARP 2	SOLDER
15	20	1010738-1	CONTACT, PIN
			
			PROOFED
