-11	DRAWING	TITLE	FIND	STRIKE
X	2005971	SCHEMATIC	REF	
				
				
				
				
				
2	2004737	TERMINAL, STUD, FORKED	65	
1	1006750-28	RESISTOR	64	
1	1006750-32	RESISTOR	63	
1	1006788-4	RESISTOR	62	
1	1006755-14	CAPACITOR	61	
AR	1006776-22	INSULATION, SLEEVING	60	
AR	1006776-20	INSULATION, SLEEVING	59	
AR	1006776-18	INSULATION, SLEEVING	58	
AR	QQ-W-343, TYPE S,18	WIRE, ELEC	57	
AR	1006776-30	INSULATION, SLEEVING	56	
3	1008071-004	WASHER, FLAT	55	
2	2008013-5	TERMINAL, LUG	54	
3	MS21083B3	NUT, HEX, SELF-LOCKING	53	
3	1008025-5	BUSHING, INSULATOR	52	
3	1008024-1	WASHER, INSULATOR	51	
3	1008024-2	WASHER, INSULATOR	50	
1	MS21083BS	NUT, HEX, SELF-LOCKING	49	
1	1008071-7	WASHER, FLAT	48	
1	2008020-3	BUSHING, INSULATOR	47	
1	1008024-5	WASHER, INSULATOR	46	
1	1008024-6	WASHER, INSULATOR	45	
5	2004984-003	WASHER, FLAT	44	
12	1006708	TERMINAL, STUD	43	
1	1004722-2	SCREW, CAPTIVE	42	
4	MS16633-4015	RING, RETAINING, EXTERNAL “E”	41	
4	2004984-001	WASHER, FLAT	40	
4	1004579-1	SCREW, JACKING	39	
1	1006304-003	RELAY	38	
3	2004039	TERMINAL, THREADED	37	
AR	1006757-21	WIRE, ELEC	36	
AR	1006757-23	WIRE, ELEC	35	
2	1006329	DIODE	34	
1	2004112-001	DIODE	33	
3	2004183-001	DIODE	32	
1	1006328	INDUCTOR	31	
3	1006327	INDUCTOR	30	
1	2004722	TRANSISTOR, SELECTION LIST	29	
1	1006363-001	TRANSISTOR	28	
4	2004184-001	TRANSISTOR, POTTED	27	
1	1006317-002	TRANSISTOR	26	
1	1006755-126	CAPACITOR	25	
1	1006755-79	CAPACITOR	24	
9	1006755-134	CAPACITOR	23	
6	1006755-89	CAPACITOR	22	
AR	1006757-13	WIRE, ELEC	21	
1	1006750-40	RESISTOR	20	
2	1006330-001	RESISTOR	19	
1	1010604-50	RESISTOR	18	
1	1010389-23	RESISTOR	17	
1	1010389-113	RESISTOR	16	
1	1010389-51	RESISTOR	15	
1	2004928	SLEEVE, THERMAL	14	
1	1006750-43	RESISTOR	13	
1	1006750-39	RESISTOR	12	
3	1006750-15	RESISTOR	11	
1	1006750-1	RESISTOR	10	
1	SEE NOTE 26	RESISTOR	9	
1	SEE NOTE 26	RESISTOR	8	
1	2004892	INSULATOR D	7	
1	2004735-002	INSULATOR C	6	
1	2004735-001	INSULATOR C	5	
1	2004736	INSULATOR B	4	
1	2004893	INSULATOR A	3	
1	2003029-031	CONTROL CIRCUIT SUB ASSY	2	
1	2003057-041	HEADER HOUSING ASSY	1	
				
X	X	PROOFED	REF	X
