0	DRAWING	TITLE	FIND
X	1010110	SCHEMATIC	REF
			
AR	1006757-1	WIRE ELEC .010 X .020	28
AR	1006776-22	INSULATION, SLEEVING	27
AR	-21	INSULATION, SLEEVING	26
AR	1006757-8	WIRE, ELEC	25
2	1010618-4	SCREW	24
4	1008161-2	SCREW	23
4	1015135-014	SPACER	22
1	1010779-6	CONNECTOR RECEPTACLE	21
3	1010397-1	TRANSISTOR	20
12	1010367	CHOPPER	19
6	1010323	TRANSFORMER	18
3	1010324	TRANSFORMER	17
3	1010710	TRANSFORMER	16
6	1010372-13	DIODE	15
6	1010279-16	CAPACITOR	14
6	1010393-033	CAPACITOR	13
3	1010279-104	CAPACITOR	12
6	1006750-41	RESISTOR	11
6	-36	RESISTOR	10
3	1010364-365	RESISTOR	9
3	-319	RESISTOR	8
6	1006750-75	RESISTOR	7
12	-25	RESISTOR	6
3	1010364-499	RESISTOR	5
6	1010364-411	RESISTOR	4
1	1008184	WIRING BOARD, BOTTOM	3
1	1008182	WIRING BOARD, TOP	2
1	1008170	FRAME	1
			
		PROOFED	
