FIND	0	DRAWING	TITLE	STRIKE
REF	X	1010046	SCHEMATIC, ELECTRICAL	
				
38	2	1000093-13	SCREW	
37	AR	1006757-8	WIRE .020 DIA	
36	AR	-1	WIRE .020 X .010	
35	AR	-9	WIRE .032 DIA	
34	AR	1006776-22	INSULATION	
33	AR	-21	INSULATION	
32	AR	-20	INSULATION	
31	1	1010273-2	TRANSISTOR (MATCHED PAIR)	
30	1	1010398-4	TRANSISTOR (MATCHED PAIR)	
29	2	1010385	SEMICONDUCTOR DEVICE, DIODE	
28	1	1010407	TRANSFORMER	
27	1	1010308	TRANSFORMER	
26	2	1010264-37	CAPACITOR, FIXED	
25	1	-35	CAPACITOR, FIXED	
24	2	-1	CAPACITOR, FIXED	
23	1	SEE DRAWING NOTE 9	RESISTOR, FIXED	
22	1	1010364-251	RESISTOR, FIXED	
21	1	1006750-12	RESISTOR, FIXED	
20	1	SEE DRAWING NOTE 9	RESISTOR, FIXED	
19	1	SEE DRAWING NOTE 9	RESISTOR, FIXED	
18	1	1010389-65	RESISTOR, FIXED	
17	1	-56	RESISTOR, FIXED	
16	1	-53	RESISTOR, FIXED	
15	1	-43	RESISTOR, FIXED	
14	1	1006750-73	RESISTOR, FIXED	
13	2	-20	RESISTOR, FIXED	
12	2	1008025-2	INSULATOR, BUSHING	
11	2	1008024-4	WASHER, INSULATOR	
10	2	-3	WASHER, INSULATOR	
9	2	1008021-2	BUSHING, INSULATOR	
8	2	1008071-5	WASHER, FLAT	
7	2	MS20341-416B	NUT	
6	13	1006775	INSULATOR	
5	13	1006782-5	CONTACT, WRAPOST – MALE	
4				
3	1	1015730	INSULATOR	X
2	1	1015729	INSULATOR	
1	1	1015703	HEATSINK	
				
			PROOFED	
