0	DRAWING	TITLE	FIND
1	1011918-1	WASHER, CABLE CLAMP	22
1	1000220-5	CLAMP CABLE	21
1	1011750-8	NUT, SELF-LOCKING HEX	20
1	NAS1352CO4-6	SCREW, CAP, HEX SOC HD	19
1	1012166	BRACKET, SUPPORT	18
1	1011368	SWITCH, TOGGLE	17
1	1010490-800	INSULATION SLEEVING	16
AR	MIL-F-14256 or QQ-S-571 TYPE AR	FLUX	15
AR	QQ-S-571 SN60	SOLDER	14
AR	1011753	TAPE, LACING & TYING	13
3	1010490-112	INSULATION SLEEVING	12
4	1010402-1	SLEEVE SOLDER ELEC	11
37	1010490-060	INSULATION SLEEVING	10
10"	1010685-2	WIRE, IRRADIATED POLY INSUL	9
95'	-1	WIRE, IRRADIATED POLY INSUL	8
1	1011482	SOCKET, LAMP MOD	7
2	MS25036-48	LUG, TERMINAL	6
52	1010738-1	CONTACTS, ELEC	5
1	1010347-1	CONNECTOR, ELEC PLUG	4
1	1010472-1	CONNECTOR, ELEC PLUG	3
1	1011411	CONNECTOR, ELEC	2
1	1000119	CONNECTOR, ELEC RECP	1
			
		PROOFED	
