0	FIND	DRAWING	TITLE
AR	14	1010679	ADHESIVE ACTIVATOR
AR	13	1010661	EPOXY RESIN
AR	12	MIL-F-14256	FLUX
AR	11	QQ-S-571 SN60WS	SOLDER
	10		
AR	9	QQ-S-571 SN60 WARP2	SOLDER
1	8	1010490-060	INSULATION – HEAT SHRINK
2	7	-322	INSULATION – HEAT SHRINK
1	6	1015661	WIRE LIST A-A
4	5	1015555	INSULATOR, COIL
4	4	1015558	COIL, DIGITAL PICKOFF
12	3	1015557	TERMINAL, PICKOFF
12	2	1015556	INSULATOR, TERMINAL
1	1	1015554	CORE, PICKOFF
			
			PROOFED
