-11	DRAWING	TITLE	FIND
X	1006148	SCHEMATIC	REF
			
			
			
			
			
1	1006750-35	RESISTOR	21
11	1006752	TRANSISTOR	20
7	1006753	TRANSISTOR	19
11	1006751	DIODE	18
2	1006838	DIODE	17
1	1006777-20	CAPACITOR	16
1	1006755-57	CAPACITOR	15
1	1006777-24	CAPACITOR	14
1	1006755-49	RESISTOR	13
3	1006750-56	RESISTOR	12
6	1006750-43	RESISTOR	11
20	1006750-39	RESISTOR	10
7	1006750-32	RESISTOR	9
8	1006750-15	RESISTOR	8
AR	1006757-1	WIRE, ELECTRICAL .010 X .020	7
AR	1006757-8	WIRE, ELECTRICAL .020 DIA	6
AR	1006776-22	INSULATION SLEEVING	5
1	1003168	MATRIX ASSY	4
1	1004268-1	INSULATOR	3
1	1004268-2	INSULATOR	2
1	1004264	HOLDER COMPONENT	1
