-011	FIND	DRAWING	TITLE
1	16	1010264-33	CAPACITOR
AR	15	MIL-F-14256	FLUX
AR	14	QQ-S-571 SN10WS	SOLDER
AR	13	QQ-S-571 SN10 WRAP 2	SOLDER
AR	12	1010682	EPOXY RESIN
AR	11	1010683	CURING AGINE, AMINE
AR	10	1010297	EPOXY RESIN ACTIVATOR
AR	9	1010295	EPOXY RESIN
2	8	1010311-126	RESISTOR
AR	7	1006776-20	INSULATION SLEEVING, ELEC
1	6	1010364-577	RESISTOR
1	5	1010410-13	CAPACITOR
1	4	1010264-37	CAPACITOR
14	3	MS17122-5	TERMINAL – STUD
4	2	MS17156-4	TERMINAL – STUD
1	1	1017568	TERMINAL BOARD
			
			PROOFED
