FIND	-11	DRAWING	TITLE
7	AR	1010416-20	WIRE, ELECTRICAL, STRANDED, INSULATED
6	AR	1010416-16	WIRE, ELECTRICAL, STRANDED, INSULATED
5	2	2011904	SCREW, MINIATURE
4	1	1011903	FLEXPRINT
3			
2	4	MS24367-715	LAMP, INCANDESCENT
1	1	2011334	PLATE, LAMP MOUNTING
			
			PROOFED
