0	TITLE	DRAWING	FIND	NOTE
AR	SOLDER	QQ-S-571 SN60 WARP2	2	
1	BOARD	1001542-1	1	The original drawing does not actually list the p/n.
X	PRINTED CIRCUIT PATTERN	1001538	REF	
				
	PROOFED			
