-11	DRAWING	TITLE	FIND
1	MS51029-1	SETSCREW HEXAGON SOCKET	33
1	2014691	RETAINER, SLEEVING	32
1	2014693	SLEEVING, ACTUATOR	31
1	1017424-16	PIN, DOWEL	30
1	2014701	INSERT, CAM	29
1	2014697	HOUSING, CAM	28
1	1021736	SLEEVE, ADJUSTING	27
AR	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	26
AR	1010657	EPOXY RESIN	25
AR	MIL-S-22473 GRADE A	SEALING COMPOUND, RETAINING	24
1	2014695	HOUSING, CAM	23
1	MS171434	PIN, SPRING	22
4	2014698	SPRING, ACTUATOR	21
8	MS35649-24	NUT, PLAIN HEX	20
2	1010418-001	BUSHING, FLANGED	19
2	2014694	STOP BLOCK	18
AR	1010686	CATALYST	17
12	MS15795-802	WASHER, FLAT	16
1	2014692	CAM, ACTUATOR	15
1	1015045	SHAFT, FULCRUM	14
1	MS51923-168	PIN, SPRING	13
2	NAS1352C02-6	SCREW, SOC HD CAP	12
4	2014696	STOP BLOCK	11
4	MS35233-6	SCREW, PAN HD	10
16	MS35233-8	SCREW, PAN HD	9
6	1010901-1	SWITCH, BASIC	8
1	1010785-12	PACKING, PREFORMED	7
2	MS16555-605	PIN, DOWEL	6
4	2014699	SPRING, ACTUATOR	5
1	2014690	ACTUATOR	4
1	2014599	KNOB, SHAFT ACTUATOR	3
4	1006783-18	SCREW, BUTTON HD	2
1	2014563	PLATE, MOUNTING	1
			
		PROOFED	
