0	TITLE	DRAWING	FIND	NOTE
AR	IMPREGNANT	1010687-1	6	The original drawing omits the p/n for the impregnant.  1010687-1 is inferred from the parts lists of the neighboring drawing numbers.
AR	POLYESTER	MIL-I-631 TYPE G	5	
AR	WIRE (LEADS)	1006711-13 AWG 30	4	
AR	WIRE	1006711-22 AWG 41	3	
AR	WIRE	1006711-18 AWG 36	2	
2	CORE	1010689-1	1	
				
	PROOFED			
