0	TITLE	DRAWING	FIND
AR	IMPREGNANT	1010687-1	5
AR	WIRE (LEADS)	1006711-13	4
AR	WIRE	-18	3
AR	WIRE	-22	2
1	CORE	1010689-2	1
			
	PROOFED		
