FIND	0	DRAWING	TITLE
24	6"	1010708-5	WIRE MODIFIED, INSULATED, SOLID COPPER
23	1	1010416-7	WIRE, ELECTRICAL, STRANDED, INSULATED
22	1	-5	WIRE, ELECTRICAL, STRANDED, INSULATED
21	3	1011625-28	SCREW CAP HEX, SOC HD, SELF-LOCKING
20	1	1010490-114	INSULATION-SLEEVING, ELECT, HEAT SHRINKABLE
19	15	-058	INSULATION-SLEEVING, ELECT, HEAT SHRINKABLE
18	1	-278	INSULATION-SLEEVING, ELECT, HEAT SHRINKABLE
17	8	1010402-1	SLEEVE, SOLDER, ELECT, COND. INSUL, HEAT SHRINK
16	12"	1010416-1	WIRE, ELECTRICAL, STRANDED, INSULATED
15	12"	-3	WIRE, ELECTRICAL, STRANDED, INSULATED
14	1	-10	WIRE, ELECTRICAL, STRANDED, INSULATED
13	1	1011740-2	CONNECTOR, ELECTRICAL RECTANGULAR
12	1	2007023	TUNING FORK ASSY TRACKER AND PHOTOMETER
11	1	2007024	HEAD ELECTRONICS ASSY (TRACKER)
10	2	NAS1352CO4LL4	SCREW, CAP, HEX SOC HD SELF-LOCKING
9	1	2012483	PHOTOMULTIPLIER HOUSING AND LENS ASSY (S.T.)
8	1	1012154	RESONATOR, TUNING FORKS, ASSY OF (TRACKER)
7	1	2007025	HEAD, ELECTRONICS ASSEMBLY (PHOTOMETER)
6	3	NAS1352CO3LL4	SCREW CAP HEX, SOC HD, SELF-LOCKING
5	1	2012481	PHOTOMULTIPLIER HOUSING AND LENS ASSY (H.S.)
4	1	2012518	RESONATOR, TUNING FORK AND FIELD STOP, ASSY OF
3	2	2012619	SCREW, BUTTON HEAD, MODIFIED
2	1	2012506	BOARD, TERMINAL, ASSY OF
1	1	2012516	HV POWER SUPPLY AND PLATE, ASSY OF
			
			PROOFED
