-11	0	DRAWING	TITLE	FIND	STRIKE
X	X	1005799	WIRING DIAGRAM	REF	
					
2	2	1000242-26	FERRULE, ELEC	44	
2	2	1000243-27	FERRULE, ELEC	43	
4	4	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 1/2 	SLEEVING	42	
	1.5	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 1 IN.	SLEEVING	41	X
5	5	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 3/4 	SLEEVING	40	
0.2	0.2	1006322-025	INSULATION, SLEEVING	39	
0.5	0.5	1006322-022	INSULATION, SLEEVING	38	
0.5	0.5	1006322-018	INSULATION, SLEEVING	37	
4.3	4.3	1006322-007	INSULATION, SLEEVING	36	
0.5	0.5	1006322-019	INSULATION, SLEEVING	35	
0.2	0.2	1006322-001	INSULATION, SLEEVING	34	
1	1	1010815-244	CONNECTOR, PLUG ELEC	33	
0.2	0.2	1006322-004	INSULATION, SLEEVING	32	
0.5	0.5	1006322-020	INSULATION, SLEEVING	31	
1	1	1010771-013	CONNECTOR, PLUG ELEC	30	
22	22	1010789-007	WIRE ELEC, AWG 22 BLK	29	
11	11	1010789-006	WIRE ELEC, AWG 22 YEL	28	
				27	X
1	1	1003731	CONNECTOR ASSY, 360 CONTACTS	26	
2	2	MS18035-1-2	BAND MARKER, CABLE	25	
AR	AR	1012507-003	TAPE, LACING	24	
10	10	1010402-2	SLEEVE, SOLDER	23	
18	17	1010402-1	SLEEVE, SOLDER	22	
4	4	1010789-005	WIRE ELEC AWG 24, 4 COND TWISTED	21	
15	15	1010789-004	WIRE ELEC AWG 24, 3 COND TWISTED	20	
20	20	1010789-003	WIRE ELEC AWG 24, 2 COND TWISTED	19	
364	364	1010789-017	WIRE ELEC AWG 26, 2 COND TWISTED	18	
3.5	3.5	1010789-001	WIRE ELEC AWG 24, YEL	17	
170	170	1010789-016	WIRE ELEC AWG 26, YEL	16	
18	18	1010789-015	WIRE ELEC AWG 26, 2 COND SHIELDED	15	
732	732	1010738-5	CONTACT, ELEC, PIN	14	
2	2	1000242-37	FERRULE, ELEC	13	
2	2	1000243-41	FERRULE, ELEC	12	
4	4	1000242-32	FERRULE, ELEC	11	
4	4	1000243-34	FERRULE, ELEC	10	
4	4	1000242-29	FERRULE, ELEC	9	
4	4	1000243-31	FERRULE, ELEC	8	
3.5	3.5	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 2	SLEEVING	7	
3.5	3.5	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 7/16	SLEEVING	6	
2.0	2.0	MIL-I-631 TYPE F, FORM Ua, GRADE A, CATEGORY 1 AWG 5/8	SLEEVING	5	
3.5	3.5	QQ-B-575 BRAID SIZE 3/8 AWG 34	WIRE, BRAID	4	
3.5	3.5	QQ-B-575 BRAID SIZE 1/4  AWG 36	WIRE, BRAID	3	
3.5	3.5	QQ-B-575 BRAID SIZE 1/2 AWG 34	WIRE, BRAID	2	
2	2	1010815-144	CONNECTOR, PLUG ELEC	1	
					
			PROOFED		
