-11	FIND	DRAWING	TITLE	STRIKE
2	34	1010630-17	SCREW, FLAT HD	
4	33	MS24693-C4	(1897068-004) SCREW, FLAT HD.	
4	32	MS15795-803	WASHER, FLAT	
AR	31	1008953-001	COMPOUND, SEALING AND RETAINING	
2	30	2021446	BUMPER – SEXTANT EYEPIECE	
2	29	1010630-15	SCREW – FLAT HD 100 DEGREES HEX SOCKET	
8	28	AN507C632R5	SCREW – FLAT HD 100 DEGREES	
2	27	2021445	GUIDE – SEXTANT EYEPIECE	
1	26	2021434	SLEEVE – SCT EYEPIECE	
1	25	2021433	SLEEVE – LER EYEPIECT	
1	24	2021444	SUPPORT, SEXTANT EYEPIECE	
4	23	NAS620C6L	WASHER, FLAT (REDUCED DIAMETER)	
8	22	MS21045-CO4	(1897082-104) NUT, SELF LOCKING	
6	21	AN507C440R5	(1897003-503) SCREW, FLAT HEAD	
2	20	MS51957-31	SCREW – PAN HEAD	X
2	19	MS51957-30	SCREW – PAN HEAD	
4	18	MS51957-29	SCREW – PAN HEAD	
8	17	MS51957-28	SCREW – PAN HEAD	
18	16	MS51957-14	SCREW – PAN HEAD	
4	15	2021393	WASHER, SHOULDERED	
2	14	2021370	RECEPTACLE, TURNLOCK FASTENER	
3	13	MS16633-4015	(1897075-015) RING, RETAINING	
3	12	1021265	HINGE, BUTT (INSEP ASSY)	
3	11	2021259	STOP, COVER	
3	10	2021372	BUMPER, PLASTIC	
1	9	2021367	BRACKET, SPRING	
1	8	2021440	GUIDE, TELESCOPE EYEPIECE	
1	7	2021439	CASE, STORAGE (INSEP ASSY)	
2	6	1011288-1	PLUNGER, QUICK RELEASE	
1	5	1021277	HOLDER – FILTER	
1	4	2021352-021	COVER ASSEMBLY, CASE	
1	3	2021369-011	RETAINER, EYEPIECE	
1	2	2021392-011	RETAINER, EYEPIECE	
1	1	2021384	BRACKET, SPRING	
				
			PROOFED	
