-11	DRAWING	TITLE	FIND	NOTE
6	NAS1223-19	BOLT, SELF LKG, HEX HD	4	
6	NAS1223-1	BOLT, SELF LKG, HEX HD	3	
3	ME473-0036-1001	PLATE, AMPLIFIER	2	A drawing for this may be in NARA-SW aperture card box 159 in location E.216.
1	2014800	PLATE, AMPLIFIER	1	
				
		PROOFED		
