-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR			SEE DRAWING NOTE 28	MOISTUREPROOFING	55	
1	1	1	2008013-9	TERMINAL – LUG, SOLDER – FLAT	54	
1	1		1018900-021	AMPLIFIER	53	
1	1	1	1008540-15	GASKET, CONNECTOR – MINIATURE	52	
X	X	X	1010140	SCHEMATIC, ELECTRICAL	REF	
1	1	1	1008545	GASKET, CONNECTOR – MINIATURE	51	
1	1	1	1008546	GASKET, CONNECTOR – MINIATURE	50	
2	2	2	1010311 SEE DRAWING NOTE 19	RESISTOR	49	
2	2	2	1010377-237	RESISTOR	48	
1	1	1	1008185	INSULATOR TOP, AMPL	47	
AR	AR	AR	1006776-20	INSULATION SLEEVING	46	
1	1	1	MS20341-10B	NUT HEX	45	
1	1	1	MS20341-416B	NUT HEX	44	
AR	AR	AR	1010848-2	WIRE ELECTRICAL .020 DIA.	43	
AR	AR	AR	MIL-I-23053-8	INSULATION SLEEVING	42	
AR	AR	AR	1006776-21	INSULATION SLEEVING	41	
AR	AR	AR	1006757-1	WIRE ELECT. .010 X .020	40	
35	35	35	1006782-5	CONTACT WRAPOST MALE	39	
35	35	35	1006775	INSULATOR WRAPOST MALE	38	
10	10	10	1008070-5	WASHER, FLAT	37	
10	10	10	MS20341-4A	NUT – HEX	36	
10	10	10	MS35338-78	WASHER, LOCK	35	
1	1	1	1008021-1	BUSHING INSULATOR	34	
1	1	1	1008021-2	BUSHING INSULATOR	33	
1	1	1	1008020-2	WASHER, FLAT	32	
1	1	1	1008020-1	WASHER, FLAT	31	
1	1	1	1008024-1	WASHER INSULATOR	30	
1	1	1	1008024-2	WASHER INSULATOR	29	
1	1	1	1008024-4	WASHER INSULATOR	28	
1	1	1	1008024-3	WASHER INSULATOR	27	
		1	1018900-011	AMPLIFIER	26	
2	2	2	1000284-011	AMPLIFIER	25	
2	2	2	1010353-1	RELAY	24	
1	1	1	1010273-1	TRANSISTOR	23	
6	6	6	1010362-3	DIODE	22	
1	1	1	1010441-2	DIODE	21	
1	1	1	1010331-20	DIODE	20	
1	1	1	1010440-1	DIODE	19	
X	X	X	1010377 SEE NOTE 18	RESISTOR	REF	
					17	
2	2	2	1010364-368	RESISTOR	16	
1	1	1	1010364-44	RESISTOR	15	
1	1	1	1010361-112	RESISTOR	14	
1	1	1	1010452-167	RESISTOR	13	
2	2	2	1010450-9	RESISTOR	12	
1	1	1	1010604-22	RESISTOR	11	
1	1	1	1010450-10	RESISTOR	10	
2	2	2	1010450-12	RESISTOR	9	
1	1	1	1010450-13	RESISTOR	8	
1	1	1	1010450-14	RESISTOR	7	
2	2	2	1010450-3	RESISTOR	6	
2	2	2	1010450-2	RESISTOR	5	
1	1	1	1010450-11	RESISTOR	4	
		1	1000074	INSULATOR BOTTOM	3	X
1	1	1	1008186	INSULATOR TOP, AMPL	2	
1	1	1	1007072	HEAT SINK	1	
						
				PROOFED		
