-11	0	TITLE	DRAWING	FIND
9		NUT, PLAIN, CLINCH	1010861-6	12
AR	AR	SURFACE PRIMER	MIL-S-22473 GRADE NR	11
AR	AR	SEALING COMPOUND	MIL-S-22473 GRADE AV	10
	9	NUT, PLAIN, FLUSH MOUNTED	1000076-1	9
10	10	TERMINAL, INSULATED	1000100-1	8
10	10	INSERT, THREADED, SELF LOCKING	1000115-2	7
40	40	INSERT, THREADED, SELF LOCKING	1000115-3	6
4	4	PIN, STRAIGHT, HEADLESS	MS16555-625	5
4	4	PIN, LOCATING, STRAIGHT, HEADLESS	1000088-2	4
16	16	SCREW CAP, SOCKET HEAD, HEX	1000110-7	3
1	1	HEMISPHERE ASSY, MOVABLE OUTER GMBL	1000059	2
1	1	HEMISPHERE ASSY, FIXED OUTER GMBL	1000066	1
				
		PROOFED		
