FIND	0	DRAWING	TITLE	NOTE
1	24.0 FEET 1.0 INCHES	1010848-2	WIRE	
2	23.0 INCHES	-4	WIRE	
3	AR	1010847-2	WIRE	
4	AR	-4	WIRE	
5	12	1010738-6	CONTACT, ELECTRICAL SOCKET	
6	2	1010711-2	SPLICE REDUCER	
7	2	1010476-168	INSULATION, SLEEVING ELECTRICAL	
8	AR	1012507-002	TAPE, LACING AND TYING	
9	AR	QQ-S-571 SN60	SOLDER (ES-2175 ALLOY 1)	
10	AR	QQ-S-571 TYPE AR	FLUX (ES-2175 TYPE 1 OR 2)	OR MIL-F-14256 (ES-2798)
				
			PROOFED	
