-11	FIND	DRAWING	TITLE	STRIKE
1	5	2008333-001	TRAY S	
2	4	1010957-001	INSERT, SCREW THREAD, SELF LOCKING	
2	3	1010957-011	INSERT, SCREW THREAD, SELF LOCKING	
36	2	1010957-010	INSERT, SCREW THREAD, SELF LOCKING	
4	1	MS21208C0610	INSERT, SCREW THREAD	
				
X	REF	X	PROOFED	X
