-11	DRAWING	TITLE	FIND
2	MS51957-14	SCREW, PAN HEAD	42
AR	1012507-003	TAPE, LACING	41
AR	1004836-003	SHIM	40
AR	1004836-002	SHIM	39
AR	1004836-001	SHIM	38
1	1010812-3	GASKET	37
8	MS51957-13	SCREW, PAN HEAD	36
2	1004666	STIFFENER	35
AR	1004665	SHIM	34
AR	1006879	COMPOUND, THERMALLY CONDUCTIVE	33
X	1005788	AGC NAV DSKY OUTLINE DRAWING	REF
X	1005771	INTERCONNECTION FLOW DIAGRAM	REF
X	1005750	INTERCONNECTION DIAGRAM	REF
38	MS15795-803	WASHER, FLAT	32
8	MS15795-808	WASHER, FLAT	31
4	MS16200-1	SCREW, PAN HEAD	30
9	NAS620C4	WASHER, FLAT	29
13	MS16995-11	SCREW, SOCKET HEAD	28
28	MS16995-10	SCREW, SOCKET HEAD	27
4	MS16995-9	SCREW, SOCKET HEAD	26
8	MS51959-14	SCREW, FLAT HEAD	25
8	1004545	SCREW, CAPTIVE	24
1	1004644	WASHER, KNURLED	23
0.5	QQ-W-343, TYPE S	WIRE, SOLID AWG 26	22
4	1003824-011	RELAY MODULE ASSY	21
3	1003817-011	DECODING MODULE ASSY	20
1	1006628	PLATE, IDENT	19
29	MS35337-78	WASHER, LOCK	18
1	1004648	BRACKET, POTENTIOMETER	17
2	MS51053-213	SCREW, SET	16
2	MS16633-4012	RING, RETAINING	15
2	1004119	STUD, CONNECTOR	14
1	1006736	RESISTOR, VARIABLE	13
1	1003473	THUMB WHEEL ASSY	12
4	MS16995-26	SCREW, SOCKET HEAD	11
4	MS15795-807	WASHER, FLAT	10
4	MS35337-80	WASHER, LOCK	9
1	1004670	BRACKET, ANGLE	8
1	1003823-011	ALIGNMENT PIN ASSY	7
1	1004669	FLANGE	6
1	1003758-000	E/L FRAME & HARNESS ASSY	5
1	1003806-000	KEYBOARD MODULE ASSY	4
1	1003811	POWER SUPPLY	3
1	1004902	HOUSING, RELAY MODULE	2
1	1004904	PANEL, FRONT	1
