0	FIND	DRAWING	TITLE	STRIKE
AR	4	1010838	ADHESIVE – PRESSURE SENSITIVE SILICONE	
1	3	2012686	INSULATION, THERMAL, SCT PRISM HOUSING	
1	2	2012711	INSULATION, THERMAL, SCT PRISM HOUSING	
1	1	2012666-000	HOUSING, SCT PRISM, ASSY OF	
				
X	REF	X	PROOFED	X
