-11	DRAWING	TITLE	FIND
AR	1012507-003	TAPE, LACING	20
AR	1012507-001	TAPE, LACING	19
1	MS18035-1	STRAP, CABLE IDENT	18
750.0	1010416-10	WIRE, ELECTRICAL, STRD, INSUL, AWG 28	17
55.0	1010416-11	WIRE, ELECTRICAL, STRD, INSUL, AWG 26	16
85.0	1010416-20	WIRE, ELECTRICAL, STRD, INSUL, AWG 26	15
75.0	1010778-1	WIRE, SHIELDED, TEFLON	14
1.5	MIL-I-23053 CLASS II BLACK, SIZE NO. 16	SLEEVING	13
1.5	MIL-I-23053 CLASS II BLACK, SIZE NO. 14	SLEEVING	12
0.7	MIL-I-23053 CLASS II BLACK, SIZE NO. 5	SLEEVING	11
38	1000243-1	FERRULE, ELECTRICAL CONDUCTOR	10
38	1000242-1	FERRULE, ELECTRICAL CONDUCTOR	9
108	1010738-5	CONTACT, MALE	8
1	1010825-1	CONNECTOR, PLUG, ELECTRICAL	7
5	MS1633-4015	RING, RETAINING	6
5	1004546-1	WASHER, FLAT	5
5	1004546-3	WASHER, FLAT	4
5	1004579-1	SCREW, JACKING	3
1	1003531	DECODING PLATE, WIREWRAP ASSY	2
1	1003535	PLATE, WIREWRAP ASSY, RELAY HOUSING	1
			
		PROOFED	
