0	DRAWING	TITLE	FIND
2	1010376-2	TRANSISTOR	49
X	1010032	SCHEMATIC	REF
AR	1006776-22	INSULATION SLEEVING	48
AR	-20	INSULATION SLEEVING	47
1	1010831-2	DIODE	46
15	1006775	INSULATOR, WRAPOST MALE MIN	45
AR	1006757-8	WIRE ELEC .020 DIA	44
AR	-1	WIRE ELEC .010 X .020	43
3	1008025-3	INSULATOR BUSHING	42
1	-1	INSULATOR BUSHING	41
AR	1006776-21	INSULATION SLEEVING	40
4	1010292-2	TEST POINT	39
15	1006782-4	CONTACT, WRAPOST MALE MIN	38
1	1010335	TRANSFORMER	37
1	1010357-1	TRANSISTOR	36
2	1010376-1	TRANSISTOR	35
2	1010831-1	DIODE	34
2	1010385	DIODE	33
1	1006777-27	CAPACITOR	32
2	1006755-69	CAPACITOR	31
1	-57	CAPACITOR	30
1	1010264-13	CAPACITOR	29
1	1006777-16	CAPACITOR	28
2	1006755-83	CAPACITOR	27
6	-65	CAPACITOR	26
1	1006760-27	RESISTOR, FIXED, MF	25
1	1006750-40	RESISTOR, FIXED, MF	24
2	1010369-96	RESISTOR, FIXED, COMP., INS.	23
1	1010312-16	RESISTOR	22
1	-14	RESISTOR, FIXED, MF	21
1	1006750-32	RESISTOR, FIXED, MF	20
1	-73	RESISTOR, FIXED, MF	19
2	1010377-51	RESISTOR, FIXED, WW	18
1	-108	RESISTOR, FIXED, WW	17
1	1006750-49	RESISTOR, FIXED, MF	16
1	-60	RESISTOR, FIXED, MF	15
2	1010369-92	RESISTOR, FIXED, COMP., INS.	14
2	1006750-50	RESISTOR, FIXED, MF	13
4	-8	RESISTOR, FIXED, MF	12
2	1010369-90	RESISTOR, FIXED, COMP., INS.	11
4	1006750-66	RESISTOR, FIXED, MF	10
2	1010377-109	RESISTOR, FIXED, WW	9
1	1006750-70	RESISTOR, FIXED, MF	8
1	1010377-107	RESISTOR, FIXED, WW	7
2	1010369-97	RESISTOR, FIXED, COMP., INS.	6
2	1006750-67	RESISTOR, FIXED, MF	5
5	-56	RESISTOR, FIXED, MF	4
1	1008029-2	INSULATOR, BOTTOM	3
1	-1	INSULATOR, TOP	2
1	1008035	HEATSINK	1
			
		PROOFED	
