-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1							2007222-201	COUPLING DATA UNIT ASSEMBLY	28	
	1						2007222-211	COUPLING DATA UNIT ASSEMBLY	27	
		1					2007222-151	COUPLING DATA UNIT ASSEMBLY	26	
			1				2007222-141	COUPLING DATA UNIT ASSEMBLY	25	
AR		AR		AR			1006338-003	SEALING COMPOUND	24	
				1			2007222-071	COUPLING DATA UNIT ASSEMBLY	23	
1		1		1		1	2010746-009	THERMOCOUPLE, CONTACT	22	
	1		1		1		1004260-522	NAMEPLATE	21	
AR	AR	AR	AR	AR	AR	AR	MIL-I-15126 TYPE MFT-2.5	INSULATING TAPE, PRESSURE SENSITIVE	20	
AR	AR	AR	AR	AR	AR	AR	1012507-4	TAPE, LACING AND TYING	19	
AR	AR	AR	AR	AR	AR	AR	1010490-984	INSULATION, SLEEVING ELEC	18	
3		3		3		3	1008883-003	CONTACT, ELECTRICAL, SOCKET	17	
3		3		3		3	1008883-002	CONTACT, ELECTRICAL, PIN	16	
6		6		6		6	1008885-001	INSULATOR ASSY, CONNECTOR	15	
									14	
AR	AR	AR	AR	AR	AR	AR	2021593	ADHESIVE	13	
1		1		1		1	1004260-521	NAMEPLATE	12	
3	3	3	3	3	3	3	1010490-142	INSULATION, SLEEVING ELEC	11	
1		1		1		1	2010746-007	THERMOCOUPLE, CONTACT	10	
1		1		1		1	2010746-006	THERMOCOUPLE, CONTACT	9	
	1		1		1		2010746-005	THERMOCOUPLE, CONTACT	8	
	1		1		1		2010746-003	THERMOCOUPLE, CONTACT	7	
	1		1		1		2010746-001	THERMOCOUPLE, CONTACT	6	
2	2	2	2	2	2	2	MS35233-15	SCREW	5	
1	1	1	1	1	1	1	2010739	CLAMP, RETAINING	4	
1	1	1	1	1	1	1	2010740	BRACKET, THERMOCOUPLE	3	
					1		2007222-041	COUPLING DATA UNIT ASSEMBLY	2	
						1	2007222-031	COUPLING DATA UNIT ASSEMBLY	1	
										
X	X	X	X	X	X	X	X	PROOFED	REF	X
