-21	-11	DRAWING	TITLE	FIND
X	X	2005038	WIRE WRAP DECK	REF
				
				
				
				
				
AR	AR	1006776-21	INSULATION SLEEVING	6
4	4	MS16555-641	PIN, STRAIGHT HEADLESS	5
AR	AR	1006376-003	WIRE, ELEC, INS	4
2	2	MS16555-628	PIN, STRAIGHT HEADLESS	3
4	4	2004139	PIN, HEADLESS DOWEL	2
1	1	2003091-011	TRAY B SUBASSY	1
