-011	DRAWING	TITLE	FIND
AR	1010847-2	WIRE, INSULATED WHT.	3
19	1010770-1	CONTACT, CRIMP	2
1	1010929-113	CONNECTOR PLUG, ELECTRICAL	1
			
		PROOFED	
