0	TITLE	DRAWING	FIND
AR	POLYESTER	MIL-I631 TYPE G	12
AR	IMPREGNANT	1010687-1	11
1	PLATE - TOP	MIL-P-18177B 1/32" SHEET TYPE GEE	10
AR	WIRE	1006711-14	9
AR	WIRE	1006711-12	8
AR	WIRE	1006711-21	7
8	TERMINAL	1010601-1	6
1	COVER	MIL-P-18177B TUBING TYPE GEE	5
1	SELF-CLINCHING STUD	1010629-1	4
2	CORE	1010602	3
AR	TAPE	MIL-I-19166	2
1	BASE	QQ-A-327 ALLOY 6062-T6	1
			
	PROOFED		
