FIND	-11	DRAWING	TITLE
1	14.0	1010416-1	WIRE AWG 28E BLK
2	5.50	1010416-2	WIRE AWG 28E BRN
3	5.37	1010416-10	WIRE AWG 28E WHT
4	1	1010917-001	CONNECTOR-PLUG (J4)
5	2	1006776-18	INSULATION-SLEEVING 5/16 LONG
6	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED, BLACK
			
			PROOFED
