-11	DRAWING	TITLE	FIND	STRIKE
4	1004546-3	WASHER, FLAT	18	
4	MS16633-4015	RING, RETAINING, EXTERNAL “E”	17	
1	1006730-120	SCREW, SEALING	16	
2	MS35233-13	SCREW, PAN HD	15	
2	MS35333-70	WASHER, LOCK, INT TOOTH	14	
4	MS171432	PIN, SPRING	13	X
4	1004207	DRIVE CYLINDER, EJECTION SCREW	12	X
4	1004546-1	WASHER, FLAT	11	
4	1004579-1	SCREW, JACKING	10	
1	1004550	COVER B	9	
1	1004549	COVER A	8	
2	1004554	INSULATOR	7	
2	1004553	INSULATOR, SIDE	6	
1	1004551	INSULATOR, LEFT	5	
1	1004552	INSULATOR, RIGHT	4	
1	AN6227-3	GASKET, O RING	3	
1	1003526	COMPONENT ASSY, OSCILLATOR	2	
1	1003528	HEADER AND POWER STAGE ASSY	1	
				
X	X	PROOFED	REF	X
