-11	FIND	DRAWING	TITLE
X	REF	1010242	SCHEMATIC
			
4	68	1008161-1	SCREW, CAP SLOTTED HD, SPECIAL
2	67	1015135-017	SPACER
4	66	1008832	TRANSFORMER
1	65	1010710	TRANSFORMER
1	64	1010328	TRANSFORMER
4	63	1010324	TRANSFORMER
1	62	1010323	TRANSFORMER
3	61	1010315-1	TRANSFORMER
9	60	1010397-1	TRANSISTOR
1	59	1010376-3	TRANSISTOR
8	58	1010367	TRANSISTOR
3	57	1010362-001	DIODE
1	56	1010372-13	DIODE
1	55	-4	DIODE
1	54	1010410-16	CAPACITOR
3	53	1010409 (SEE DRAWING NOTE 22)	CAPACITOR
3	52	1010409-12	CAPACITOR
1	51	1010393-044	CAPACITOR
2	50	-037	CAPACITOR
2	49	-033	CAPACITOR
1	48	-029	CAPACITOR
1	47	-021	CAPACITOR
1	46	1010279-236	CAPACITOR
1	45	-114	CAPACITOR
3	44	-7	CAPACITOR
3	43	-5	CAPACITOR
3	42	1006755-69	CAPACITOR
6	41	-34	CAPACITOR
3	40	-31	CAPACITOR
1	39	1010267-205	RESISTOR
3	38	1010364-769	RESISTOR
3	37	-707	RESISTOR
1	36	-693	RESISTOR
2	35	-637	RESISTOR
1	34	-619	RESISTOR
1	33	-427	RESISTOR
1	32	-403	RESISTOR
1	31	-365	RESISTOR
1	30	-319	RESISTOR
3	29	1010311 (SEE DRAWING NOTE 22)	RESISTOR
6	28	1010311-315	RESISTOR
3	27	-291	RESISTOR
1	26	-203	RESISTOR
5	25	-126	RESISTOR
2	24	1006750-80	RESISTOR
2	23	-75	RESISTOR
4	22	-73	RESISTOR
3	21	-68	RESISTOR
3	20	-65	RESISTOR
3	19	-56	RESISTOR
1	18	-54	RESISTOR
2	17	-48	RESISTOR
1	16	-43	RESISTOR
6	15	-36	RESISTOR
8	14	-25	RESISTOR
1	13	-20	RESISTOR
1	12	-19	RESISTOR
1	11	-12	RESISTOR
AR	10	1006776-22	INSULATION, SLEEVING, ELECTRICAL
AR	9	-21	INSULATION, SLEEVING, ELECTRICAL
AR	8	1010848-2	WIRE, ELECTRICAL
AR	7	1006757-1	WIRE, ELECTRICAL
1	6	1010779-12	CONNECTOR, RECEPTACLE, ELECTRICAL
1	5	2008093-002	TERMINAL, THREADED
2	4	1010618-4	SCREW
1	3	1008476	WIRING BOARD A
1	2	1008475	WIRING BOARD B
1	1	1008247	FRAME
			
			PROOFED
