-21	-11	FIND	DRAWING	TITLE
1		8	2021438	FRAME
AR	AR	7	1006271-1	MARKING INK, WHITE
AR	AR	6	MIL-P-8585	PRIMER
AR	AR	5	1012543-003	COATING KIT, LIGHT DIFFUSING
AR	AR	4	1010877	ADHESIVE, EPOXY RESIN
11	11	3	MS21209CO415	(1897059-004) INSERT, SCREW THREAD
1	1	2	2021355	COVER
	1	1	2021354	FRAME
				
				PROOFED
