-011	FIND	DRAWING	TITLE
	10		
	9		
AR	8	MS20995C32	WIRE, LOCK
9	7	NAS1352CO6H8	SCREW, SCH
9	6	NAS1352CO6H10	SCREW, SCH
1	5	2898955	TUBE – SPACECRAFT END (SCT)
1	4	2898954	CLAMP RING, SPACECRAFT END (SCT)
1	3	2898953-001	SEAL, PRESSURE, STRAIN ISOLATION
1	2	2898952-001	CLAMP RING – OPTICS END
1	1	2898956	TUBE – OPTICS END (SCT)
			
			PROOFED
