-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X			1009601	SCHEMATIC	32	
2			1005003-2	RELAY	31	
AR	AR		SEE DRAWING NOTE 25	MOISTUREPROOFING	30	
AR	AR	AR	1010848-2	WIRE, ELECTRICAL – NICKEL	29	
	X	X	1009501	SCHEMATIC	REF	
AR	AR	AR	1006776-21	INSULATION SLEEVING ELECTRICAL	28	
1	1	1	1008540-14	GASKET	27	
1	1	1	1008540-15	GASKET	26	
		AR	1006757-8	.020 DIA WIRE ELECTRICAL	25	X
	2	2	1010790-3	RELAY	24	
2	2	2	1010363-215	RESISTOR	23	
2	2	2	1010363-247	RESISTOR	22	
1	1	1	1010467	TRANSFORMER	21	
		AR	1006776-22	INSULATION SLEEVING ELECTRICAL	20	X
AR	AR	AR	1006776-20	INSULATION SLEEVING ELECTRICAL	19	
3	3	3	1008161-1	SCREW, CAP SLOTTED HEAD	18	
3	3	3	1008161-2	SCREW, CAP SLOTTED HEAD	17	
3	3	3	1015135-021	SPACER, NYLON	16	
AR	AR	AR	1006757-1	.010 X .020 WIRE ELECTRICAL	15	
29	29	29	1006775	INSULATOR, WRAPOST MALE MIN	14	
29	29	29	1006782-5	CONTACT, WRAPOST MALE MIN	13	
2	2	2	1010316-89	CAPACITOR	12	
2	2	2	1010316-79	CAPACITOR	11	
1	1	1	1010316-92	CAPACITOR	10	
1	1	1	1010316-81	CAPACITOR	9	
2	2	2	1010363-421	RESISTOR	8	
1	1	1	1010363-221	RESISTOR	7	
1	1	1	1010363-265	RESISTOR	6	
1	1	1	1010363-431	RESISTOR	5	
1	1	1	1010363-443	RESISTOR	4	
1	1	1	1008503	WIRING BOARD, BOTTOM	3	
1	1	1	1008501	WIRING BOARD, TOP	2	
1	1	1	1008504	FRAME	1	
						
				PROOFED		
