0	FIND	DRAWING	TITLE
2	14	2012747	INSERT, THREADED
2	13	NAS1189C02P3L	SCREW 100 DEGREE FLAT HD., SELF LOCKING
AR	12	2012750	SHIM, MACHINED, SCT
2	11	2012745	SPRING, FLAT
4	10	1010618-1	SCREW, BUTTON HD, SELF LOCKING, SOC HEX
2	9	2012634-000	SPRING, FLAT
2	8	2012635	PLUNGER
1	7	2011272	PLATE, COVER PRISM HOUSING
1	6	2011270	PRISM, LARGE SCT EYEPIECE
8	5	NAS1352C02LL3	SCREW, CAP, SOCKET HEAD SELF-LOCKING
1	4	2011271	PLATE, COVER PRISM HOUSING
2	3	2011883	SPRING, ELLIPTICAL SCT PRISM
1	2	2011269	PRISM, SMALL SCT EYEPIECE
1	1	2012665	HOUSING, SCT PRISM
			
			PROOFED
